time_ms,sample_idx,ecg_v,ecg_ac_v,ppg,lead_off
833565,208340,1.8285,0.0659,83188,0
833569,208341,1.8253,0.0624,83188,0
833573,208342,1.8253,0.0619,83188,0
833577,208343,1.839,0.075,82948,0
833581,208344,1.8567,0.092,83318,0
833585,208345,1.8825,0.1171,82834,0
833589,208346,1.8777,0.1115,82834,0
833593,208347,1.8535,0.0865,82729,0
833597,208348,1.8253,0.0577,82729,0
833601,208349,1.8019,0.0339,83407,0
833605,208350,1.781,0.0125,82667,0
833609,208351,1.7536,-0.0152,83433,0
833613,208352,1.7374,-0.0316,84072,0
833617,208353,1.7447,-0.0246,84072,0
833621,208354,1.7374,-0.032,83438,0
833625,208355,1.7149,-0.0547,82671,0
833629,208356,1.7028,-0.067,83535,0
833633,208357,1.7028,-0.067,82706,0
833637,208358,1.7004,-0.0695,82706,0
833641,208359,1.6842,-0.0856,83586,0
833645,208360,1.6738,-0.096,82822,0
833649,208361,1.6867,-0.0831,83652,0
833653,208362,1.702,-0.0678,82850,0
833657,208363,1.6996,-0.0703,82850,0
833661,208364,1.681,-0.0888,82850,0
833665,208365,1.677,-0.0927,82884,0
833669,208366,1.6875,-0.0821,83771,0
833673,208367,1.6939,-0.0756,83005,0
833677,208368,1.6891,-0.0804,83005,0
833681,208369,1.6891,-0.0803,83066,0
833685,208370,1.6996,-0.0698,83066,0
833689,208371,1.7084,-0.0608,83844,0
833693,208372,1.6963,-0.0729,83135,0
833697,208373,1.6915,-0.0776,83855,0
833701,208374,1.702,-0.0671,84277,0
833705,208375,1.7318,-0.0373,84277,0
833709,208376,1.7544,-0.015,83881,0
833713,208377,1.7898,0.0202,83307,0
833717,208378,1.8188,0.0487,83936,0
833721,208379,1.8438,0.0732,83357,0
833725,208380,1.9236,0.1522,83357,0
833729,208381,2.1283,0.3551,83983,0
833733,208382,2.4748,0.6986,83438,0
833737,208383,2.6803,0.9002,84012,0
833741,208384,2.611,0.8273,83477,0
833745,208385,2.2637,0.4777,83477,0
833749,208386,1.7963,0.01,83477,0
833753,208387,1.4634,-0.3218,83462,0
833757,208388,1.3248,-0.4589,84080,0
833761,208389,1.3651,-0.4173,83544,0
833765,208390,1.4892,-0.2923,83544,0
833769,208391,1.5835,-0.1975,83533,0
833773,208392,1.627,-0.1536,83533,0
833777,208393,1.6665,-0.114,84109,0
833781,208394,1.7157,-0.0649,83508,0
833785,208395,1.76,-0.0208,84108,0
833789,208396,1.7737,-0.0072,84435,0
833793,208397,1.7632,-0.0179,84435,0
833797,208398,1.7487,-0.0325,84078,0
833801,208399,1.7479,-0.0332,83441,0
833805,208400,1.7632,-0.0177,84152,0
833809,208401,1.7697,-0.011,83384,0
833813,208402,1.7705,-0.01,83384,0
833817,208403,1.7689,-0.0114,84160,0
833821,208404,1.7834,0.0033,83338,0
833825,208405,1.7858,0.0058,84189,0
833829,208406,1.7761,-0.0037,83294,0
833833,208407,1.7753,-0.0042,83294,0
833837,208408,1.789,0.0098,83294,0
833841,208409,1.8084,0.0295,83213,0
833845,208410,1.8067,0.0281,84234,0
833849,208411,1.7987,0.0202,83243,0
833853,208412,1.8092,0.0307,83243,0
833857,208413,1.8245,0.0459,83241,0
833861,208414,1.8245,0.0456,83241,0
833865,208415,1.8245,0.0453,84273,0
